Liquid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
101 3100.00 1079.10 68.452293 51.4713 0.958712 19.0367 1.28727 0 5.32956 0.233739 2.46375 0 0 6.39083 3.04033 6.8661 0 2.92174 0
102 3100.00 1078.10 68.274491 51.4859 0.955892 19.0653 1.28593 0 5.32226 0.234348 2.43992 0 0 6.34951 3.04753 6.88398 0 2.92935 0
103 3100.00 1077.10 68.098322 51.5007 0.953011 19.0938 1.28459 0 5.31489 0.234954 2.41632 0 0 6.30838 3.05468 6.90179 0 2.93693 0
104 3100.00 1076.10 67.923769 51.5156 0.95007 19.122 1.28323 0 5.30744 0.235558 2.39293 0 0 6.26742 3.06181 6.91952 0 2.94448 0
105 3100.00 1075.10 67.750817 51.5306 0.947068 19.1499 1.28187 0 5.29991 0.23616 2.36976 0 0 6.22665 3.0689 6.93719 0 2.95199 0
106 3100.00 1074.10 67.579448 51.5457 0.944006 19.1777 1.2805 0 5.29231 0.236758 2.3468 0 0 6.18606 3.07595 6.95478 0 2.95948 0
107 3100.00 1073.10 67.409648 51.5609 0.940883 19.2052 1.27912 0 5.28463 0.237355 2.32406 0 0 6.14565 3.08298 6.9723 0 2.96693 0
108 3100.00 1072.10 67.241401 51.5763 0.9377 19.2324 1.27773 0 5.27688 0.237949 2.30153 0 0 6.10542 3.08997 6.98974 0 2.97436 0
109 3100.00 1071.10 67.074693 51.5918 0.934456 19.2595 1.27633 0 5.26906 0.23854 2.27921 0 0 6.06537 3.09692 7.00711 0 2.98175 0
110 3100.00 1070.10 66.909508 51.6073 0.931151 19.2863 1.27492 0 5.26117 0.239129 2.2571 0 0 6.0255 3.10384 7.02441 0 2.98911 0
111 3100.00 1069.10 66.745831 51.623 0.927786 19.3129 1.27351 0 5.25321 0.239715 2.23521 0 0 5.98582 3.11073 7.04164 0 2.99644 0
112 3100.00 1068.10 66.583649 51.6388 0.924361 19.3393 1.27209 0 5.24518 0.240299 2.21352 0 0 5.94632 3.11758 7.05879 0 3.00374 0
113 3100.00 1067.10 66.422948 51.6548 0.920875 19.3654 1.27066 0 5.23708 0.240881 2.19205 0 0 5.907 3.1244 7.07587 0 3.01101 0
114 3100.00 1066.10 66.263714 51.6708 0.917329 19.3914 1.26923 0 5.22891 0.241459 2.17078 0 0 5.86786 3.13118 7.09287 0 3.01824 0
115 3100.00 1065.10 66.105933 51.6869 0.913722 19.4171 1.26778 0 5.22069 0.242036 2.14973 0 0 5.82891 3.13793 7.1098 0 3.02545 0
116 3100.00 1064.10 65.949592 51.7031 0.910055 19.4425 1.26634 0 5.21239 0.24261 2.12887 0 0 5.79014 3.14464 7.12665 0 3.03262 0
117 3100.00 1063.10 65.794679 51.7195 0.906329 19.4678 1.26488 0 5.20404 0.243181 2.10823 0 0 5.75155 3.15133 7.14343 0 3.03976 0
118 3100.00 1062.10 65.641180 51.7359 0.902542 19.4928 1.26342 0 5.19562 0.243749 2.08779 0 0 5.71315 3.15797 7.16014 0 3.04687 0
119 3100.00 1061.10 65.489084 51.7525 0.898695 19.5176 1.26195 0 5.18714 0.244316 2.06756 0 0 5.67493 3.16458 7.17677 0 3.05394 0
120 3100.00 1060.10 65.338377 51.7691 0.894789 19.5422 1.26048 0 5.17861 0.244879 2.04752 0 0 5.6369 3.17116 7.19332 0 3.06099 0
121 3100.00 1059.10 65.189049 51.7859 0.890823 19.5666 1.259 0 5.17001 0.24544 2.0277 0 0 5.59905 3.1777 7.2098 0 3.068 0
122 3100.00 1058.10 65.041087 51.8027 0.886798 19.5908 1.25751 0 5.16136 0.245998 2.00807 0 0 5.56139 3.18421 7.2262 0 3.07498 0
123 3100.00 1057.10 64.894480 51.8196 0.882714 19.6147 1.25602 0 5.15266 0.246554 1.98865 0 0 5.52392 3.19069 7.24253 0 3.08193 0
